;company;time;interviewed;;;;
1;CGI - Service Desing koulutus;2018-01-26;;;;;
2;CGI - UX-Designer;2018-01-26;;;;;
3;CGI - Analytiikka;2018-01-31;;;;;
4;IF;2018-02-08;;;;;
5;UX-Designer;2018-02-08;;;;;
6;Veikkaus;2018-02-10;;;;;
7;IF;2018-02-20;;;;;
8;Sofocus;2018-03-01;;;;;
9;Kone;2018-03-01;;;;;
10;qvik;2018-03-05;;;;;
11;taiste;2018-03-05;;;;;
12;Vincit;2018-03-08;;;;;
13;vr;2018-03-08;;;;;
14;Ambientia;2018-03-09;;;;;
15;Bitfactor;2018-03-14;;;;;
16;aTalent;2018-03-14;;;;;
17;finago;2018-03-14;;;;;
18;Pacero;2018-03-15;;;;;
19;Morenum;2018-03-15;;;;;
20;Solita&Palmu;2018-03-15;;;;;
21;Terveystalo ;2018-03-15;;;;;
22;IF;2018-03-26;;;;;
23;mercuri urval;2018-03-26;;;;;
24;rantalainen;2018-03-26;;;;;
25;Azets;2018-03-26;;;;;
26;Service Design -facebook ryhmä;2018-03-27;;;;;
27;grano;2018-03-28;;;;;
28;Vincit - Muovaamo;2018-03-28;;;;;
29;Ambientia;2018-03-30;ok;;;;
30;mpy;2018-04-02;;;;;
31;greatminds;2018-04-02;;;;;
32;innofactor;2018-04-02;;;;;
33;lemonsoft;2018-04-02;;;;;
34;Lindorff;2018-04-04;;;;;
35;BearIT;2018-04-04;;;;;
36;Viestintäliiga;2018-04-05;;;;;
37;wunder;2018-04-07;;;;;
38;HEL -Hopkins;2018-04-10;;;;;
39;KEHA-keskus;2018-04-10;;;;;
40;nitro (en hakenut);2018-04-10;;;;;
41;zeeland (en hakenut);2018-04-10;;;;;
42;HEL - Mash;2018-04-12;ok;;;;
43;HEL - Accenture;2018-04-12;;;;;
44;HEL - Idean;2018-04-13;;;;;
45;HEL - Sofigate;2018-04-13;;;;;
46;HEL Wärtsilä;2018-04-13;;;;;
47;HEL- UPM;2018-04-17;;;;;
48;HEL - Vaisala;2018-04-17;;;;;
49;Vancover - Digitalist;2018-04-17;;;;;
50;HEL Link Desing;2018-04-18;;;;;
51;HEL - Houston;2018-04-19;;;;;
52;HEL Aivan;2018-04-19;;;;;
53;Pwc;2018-04-19;;;;;
54;HEL - hellon;2018-04-19;ok;;;;
55;hell - nordkapp;2018-04-19;;;;;
56;Nordic - Lindorff;2018-04-20;;;;;
57;HEL- M4ID;2018-04-23;;;;;
58;Capgemini;2018-04-26;ok;;;;
59;K-Group;2018-04-26;;;;;
60;muotohiomo;2018-05-03;;;;;
61;pentagon design;2018-05-04;;;;;
62;Futurice ;2018-05-04;;;;;
63;maahanmuuttovirasto;2018-05-04;;;;;
64;Taiste;2018-05-08;;;;;
65;Töölö Urban;2018-05-12;;;;;
66;Helsingin kaupunki;2018-05-14;;;;;
67;atalent;2018-05-14;;;;;
68;q-factoey / codemen;2018-05-29;;;;;
69;Barona;2018-05-16;;;;;
70;Experies;2018-05-16;;;;;
71;Academic work - plusTerveys;2018-05-17;ok;;;;
72;Fraktio;2018-05-22;;;;;
73;eCraft ;2018-05-23;ok;;;;
74;Tieto;2018-05-24;;;;;
75;Northstar;2018-05-29;;;;;
76;3stepIT;2018-05-31;;;;;
77;sihti - pakkaaja;2018-06-04;;;;;
78;barona;2018-06-04;ok;;;;
79;OMD;2018-06-13;;;;;
80;Abloy;2018-06-14;;;;;
81;Linström;2018-06-14;;;;;
82;Metso;2018-06-14;;;;;
83;Valtiolle;2018-06-14;;;;;
84;Kone;2018-06-15;;;;;
85;ICT-Direct - Rocla;2018-06-15;ok;;;;
86;Claned;2018-06-15;;;;;
87;knowit;2018-06-15;ok;;;;
88;Nordea;2018-06-25;;;;;
89;Nokia;2018-06-25;ok;;;;
90;Fourkind;2018-06-25;;;;;
91;CGI;2018-06-26;;;;;
92;CGI;2018-07-02;;;;;
93;Evermade;2018-07-02;;;;;
94;OP;2018-07-03;;;;;
95;nordcoud;2018-07-04;;;;;
96;Veikkaus;2018-07-04;;;;;
97;Visma;2018-07-04;;;;;
98;Wunder;2018-07-05;;;;;
99;Deloitte;2018-07-10;;;;;
100;Academic works;2018-07-10;ok;;;;
101;digitalentpro;2018-08-02;;;;;
102;Nokia;2018-08-10;;;;;
103;Qvik;2018-08-18;;;;;
104;Tieto;2018-08-18;;;;;
105;Fourkind;2018-08-20;;;;;
106;S-ryhmä;2018-08-21;;;;;
107;Opteam;2018-08-22;;;;;
108;eWork;2018-08-22;;;;;
109;Op;2018-08-24;;;;;
110;Elisa ;2018-08-24;ok;;;;
111;Adecco;2018-08-24;ok;;;;
112;Accenture;2018-08-24;;;;;
113;Veikkaus;2018-08-25;;;;;
114;aTalent;2018-08-25;;;;;
115;Finnair;2018-08-27;;;;;
116;Barona;2018-08-27;;;;;
117;Click ;2018-08-27;ok;;;;
118;Telia;2018-08-27;;;;;
119;AAC Global;2018-08-27;;;;;
120;Harnham;2018-08-27;;;;;
121;koulutus Talent Gate;2018-08-28;;;;;
122;Aalto Pro;2018-08-28;;;;;
123;manpower;2018-08-28;;;;;
124;op;2018-08-30;;;;;
125;capgemini;2018-08-30;;;;;
126;Barona - Nets;2018-09-03;;;;;
127;Helsingin kaupunki;2018-09-03;;;;;
128;Deloitte;2018-09-03;;;;;
129;Eilakaisla - Aqva;2018-09-03;ok;;;;
130;Aalto F.E.C Capgemini;2018-09-04;;;;;
131;Mehiläinen;2018-09-04;;;;;
132;Elisa open rekrytapahtuma ;2018-09-06;;;;;
133;click henkilöstövuokraus;2018-09-07;ok;;;;
134;Digia;2018-09-10;ok;;;;
135;Työeläkeyhtiö Elo;2018-09-13;ok;;;;
136;Touhula Varhaiskasvatus oY;2018-09-13;;;;;
137;Kiinteistömaailma;2018-09-13;;;;;
138;Poolia;2018-09-13;;;;;
139;business finland;2018-09-14;ok;;;;
140;Capgemini;2018-09-14;ok;;;;
141;Santander;2018-09-14;;;;;
142;Siili_;2018-09-14;;;;;
143;F-Secure;2018-09-14;;;;;
144;Kesko;2018-12-03;;;;;
145;Valtiolle;2018-12-03;;;;;
146;valtiolle;2018-12-04;;;;;
147;Upseller;2018-12-05;;;;;
148;Logentia;2018-12-10;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
